Stunde im Jahr [h]	Variante 10.1 Raumlufttemperatur [C]	Variante 10.1 Heizleistung [W]	Variante 10.1 Kühlleistung [W]	Variante 10.2 Raumlufttemperatur [C]	Variante 10.2 Heizleistung [W]	Variante 10.2 Kühlleistung [W]	Variante 10.2 Rücklauftemperatur [C]	Variante 10.2 Innentemperatur.Dach [C]	Variante 10.2 Innentemperatur.Boden [C]	Variante 10.2 Innentemperatur.Wand.Nord [C]	Variante 10.2 Innentemperatur.Wand.Ost [C]	Variante 10.2 Innentemperatur.Wand.Süd [C]	Variante 10.2 Innentemperatur.Wand.West [C]
4454	31.0097	0	42.041	33.5151	89.4786	0	34.8201	32.8224	34.4034	32.8224	32.8224	32.8224	32.8224
4455	31.0097	0	45.935	33.5411	87.9475	0	34.8238	32.8601	34.4141	32.8601	32.8601	32.8601	32.8601
4456	31.0093	0	49.0558	33.5667	86.4318	0	34.8275	32.8975	34.4246	32.8975	32.8975	32.8975	32.8975
4457	31.009	0	52.1263	33.5921	84.9313	0	34.8312	32.9344	34.4351	32.9344	32.9344	32.9344	32.9344
4458	31.0086	0	54.9966	33.6173	83.4458	0	34.8348	32.9711	34.4455	32.9711	32.9711	32.9711	32.9711
4459	31.0084	0	59.0642	33.6422	81.9753	0	34.8384	33.0073	34.4557	33.0073	33.0073	33.0073	33.0073
4460	31.0079	0	61.1028	33.6668	80.5196	0	34.842	33.0432	34.4659	33.0432	33.0432	33.0432	33.0432
4461	31.0075	0	64.0469	33.6912	79.0785	0	34.8455	33.0787	34.4759	33.0787	33.0787	33.0787	33.0787
4462	31.0071	0	66.7461	33.7154	77.6518	0	34.849	33.1139	34.4858	33.1139	33.1139	33.1139	33.1139
4463	31.0066	0	66.0418	33.7393	76.2395	0	34.8524	33.1487	34.4957	33.1487	33.1487	33.1487	33.1487
4464	31.0068	0	68.1126	33.7629	74.8414	0	34.8558	33.1832	34.5055	33.1832	33.1832	33.1832	33.1832
4465	31.007	0	70.3505	33.7864	73.4574	0	34.8592	33.2173	34.5151	33.2173	33.2173	33.2173	33.2173
4466	31.0073	0	72.6776	33.8096	72.0872	0	34.8626	33.2511	34.5247	33.2511	33.2511	33.2511	33.2511
4467	31.0075	0	74.9525	33.8325	70.7308	0	34.8659	33.2845	34.5341	33.2845	33.2845	33.2845	33.2845
4468	31.0077	0	77.1759	33.8552	69.3881	0	34.8692	33.3176	34.5435	33.3176	33.3176	33.3176	33.3176
4469	31.0079	0	79.349	33.8777	68.0588	0	34.8724	33.3504	34.5527	33.3504	33.3504	33.3504	33.3504
4470	31.0082	0	81.4727	33.9	66.7429	0	34.8756	33.3828	34.5619	33.3828	33.3828	33.3828	33.3828
4471	31.0084	0	83.548	33.9221	65.4402	0	34.8788	33.4149	34.571	33.4149	33.4149	33.4149	33.4149
4472	31.0086	0	85.5762	33.9439	64.1506	0	34.882	33.4467	34.58	33.4467	33.4467	33.4467	33.4467
4473	31.0088	0	87.5581	33.9655	62.8739	0	34.8851	33.4782	34.5889	33.4782	33.4782	33.4782	33.4782
4474	31.0089	0	89.4949	33.9869	61.6101	0	34.8882	33.5093	34.5977	33.5093	33.5093	33.5093	33.5093
4475	31.0091	0	91.3876	34.0081	60.359	0	34.8912	33.5402	34.6064	33.5402	33.5402	33.5402	33.5402
4476	31.0093	0	93.2371	34.0291	59.1204	0	34.8942	33.5707	34.615	33.5707	33.5707	33.5707	33.5707
4477	31.0095	0	95.0446	34.0498	57.8943	0	34.8972	33.6009	34.6236	33.6009	33.6009	33.6009	33.6009
4478	31.0097	0	96.8108	34.0704	56.6805	0	34.9002	33.6308	34.632	33.6308	33.6308	33.6308	33.6308
4479	31.0099	0	98.5368	34.0907	55.4789	0	34.9031	33.6605	34.6404	33.6605	33.6605	33.6605	33.6605
4480	31.01	0	100.223	34.1108	54.2894	0	34.906	33.6898	34.6487	33.6898	33.6898	33.6898	33.6898
4481	31.0102	0	101.872	34.1308	53.1118	0	34.9089	33.7188	34.6569	33.7188	33.7188	33.7188	33.7188
4482	31.0103	0	103.482	34.1505	51.946	0	34.9118	33.7475	34.6651	33.7475	33.7475	33.7475	33.7475
4483	31.0105	0	105.056	34.1701	50.792	0	34.9146	33.776	34.6731	33.776	33.776	33.776	33.776
4484	31.0107	0	106.594	34.1894	49.6496	0	34.9174	33.8042	34.6811	33.8042	33.8042	33.8042	33.8042
4485	31.0108	0	108.098	34.2085	48.5186	0	34.9201	33.832	34.689	33.832	33.832	33.832	33.832
4486	31.011	0	109.566	34.2275	47.399	0	34.9229	33.8596	34.6968	33.8596	33.8596	33.8596	33.8596
4487	31.0111	0	111.002	34.2463	46.2907	0	34.9256	33.887	34.7045	33.887	33.887	33.887	33.887
4488	31.0113	0	112.404	34.2648	45.1935	0	34.9283	33.914	34.7121	33.914	33.914	33.914	33.914
4489	31.0114	0	113.775	34.2832	44.1073	0	34.9309	33.9408	34.7197	33.9408	33.9408	33.9408	33.9408
4490	31.0115	0	115.115	34.3014	43.032	0	34.9335	33.9673	34.7272	33.9673	33.9673	33.9673	33.9673
