Zeit [h]	Variante 8.1 Raumlufttemperatur [C]	Variante 8.1 Wärmeleitung [W/m2]	Variante 8.1 Oberflächentemperatur [C]	Variante 8.2 Raumlufttemperatur [C]	Variante 8.2 Wärmeleitung [W/m2]	Variante 8.2 Oberflächentemperatur [C]	Variante 8.3 Raumlufttemperatur [C]	Variante 8.3 Wärmeleitung [W/m2]	Variante 8.3 Oberflächentemperatur [C]	Variante 8.4.Raumlufttemperatur [C]	Variante 8.4 Wärmeleitung [W/m2]	Variante 8.4 Oberflächentemperatur [C]
4918	40.82	0	0	38.239	0	0	34.965	0	0	34.9655	0	0
4919	40.82	0	0	38.239	0	0	34.9155	0	0	34.9165	0	0
4920	40.82	0	0	38.239	0	0	34.8665	0	0	34.8675	0	0
4921	40.82	0	0	38.239	0	0	34.818	0	0	34.8185	0	0
4922	40.82	0	0	38.239	0	0	34.7695	0	0	34.7695	0	0
4923	40.82	0	0	38.239	0	0	34.721	0	0	34.721	0	0
4924	40.82	0	0	38.239	0	0	34.6725	0	0	34.673	0	0
4925	40.82	0	0	38.239	0	0	34.624	0	0	34.6245	0	0
4926	40.82	0	0	38.239	0	0	35.5015	0	0	34.695	0	0
4927	40.82	0	0	38.239	0	0	37.6185	0	0	34.941	0	0
4928	40.82	0	0	38.239	0	0	39.7775	0	0	35.2295	0	0
4929	40.82	0	0	38.239	0	0	40.758	0	0	35.4035	0	0
4930	40.82	0	0	38.239	0	0	40.832	0	0	35.477	0	0
4931	40.82	0	0	38.239	0	0	40.3135	0	0	35.4745	0	0
4932	40.82	0	0	38.239	0	0	39.7825	0	0	35.46	0	0
4933	40.82	0	0	38.239	0	0	40.424	0	0	35.586	0	0
4934	40.82	0	0	38.239	0	0	41.0775	0	0	35.723	0	0
4935	40.82	0	0	38.239	0	0	41.15	0	0	35.7955	0	0
4936	40.82	0	0	38.239	0	0	40.2975	0	0	35.7495	0	0
4937	40.82	0	0	38.239	0	0	38.2055	0	0	35.528	0	0
4938	40.82	0	0	38.239	0	0	36.07	0	0	35.264	0	0
4939	40.82	0	0	38.239	0	0	35.1135	0	0	35.114	0	0
4940	40.82	0	0	38.239	0	0	35.064	0	0	35.064	0	0
4941	40.82	0	0	38.239	0	0	35.0145	0	0	35.0145	0	0
4942	40.82	0	0	38.239	0	0	34.965	0	0	34.9655	0	0
4943	40.82	0	0	38.239	0	0	34.9155	0	0	34.9165	0	0
4944	40.82	0	0	38.239	0	0	34.8665	0	0	34.8675	0	0
4945	40.82	0	0	38.239	0	0	34.818	0	0	34.8185	0	0
4946	40.82	0	0	38.239	0	0	34.7695	0	0	34.7695	0	0
4947	40.82	0	0	38.239	0	0	34.721	0	0	34.721	0	0
