Zeit [h]	Außentemperatur [C]	Variante 1 Raum A [C]	Variante 2 Raum A [C]	Variante 3 Raum A [C]	Variante 3 Raum B [C]	Variante 4 Raum A [C]	Variante 4 Raum B [C]
403	30	28.9008	25.1466	0	0	0	0
404	30	28.9101	25.181	0	0	0	0
405	30	28.9193	25.1871	0	0	0	0
406	30	28.9285	25.0913	0	0	0	0
407	30	28.9375	24.9286	0	0	0	0
408	30	28.9465	24.7341	0	0	0	0
409	30	28.9554	24.5281	0	0	0	0
410	30	28.9643	24.3212	0	0	0	0
411	30	28.973	24.1188	0	0	0	0
412	30	28.9817	23.9232	0	0	0	0
413	30	28.9903	23.7355	0	0	0	0
414	30	28.9989	23.5561	0	0	0	0
415	30	29.0074	23.3849	0	0	0	0
416	30	29.0157	23.2219	0	0	0	0
417	30	29.0241	23.1359	0	0	0	0
418	30	29.0323	23.1837	0	0	0	0
419	30	29.0405	23.2561	0	0	0	0
420	30	29.0486	23.4267	0	0	0	0
421	30	29.0567	23.6609	0	0	0	0
422	30	29.0647	23.9234	0	0	0	0
423	30	29.0726	24.1941	0	0	0	0
424	30	29.0804	24.4625	0	0	0	0
425	30	29.0882	24.7237	0	0	0	0
426	30	29.0959	24.9752	0	0	0	0
427	30	29.1036	25.1467	0	0	0	0
428	30	29.1112	25.181	0	0	0	0
429	30	29.1187	25.1871	0	0	0	0
430	30	29.1261	25.0914	0	0	0	0
431	30	29.1335	24.9286	0	0	0	0
432	30	29.1409	24.7341	0	0	0	0
433	30	29.1481	24.5281	0	0	0	0
434	30	29.1553	24.3213	0	0	0	0
435	30	29.1625	24.1188	0	0	0	0
436	30	29.1696	23.9232	0	0	0	0
437	30	29.1766	23.7355	0	0	0	0
438	30	29.1836	23.5561	0	0	0	0
439	30	29.1905	23.3849	0	0	0	0
440	30	29.1973	23.2219	0	0	0	0
441	30	29.2041	23.1358	0	0	0	0
442	30	29.2108	23.1837	0	0	0	0
443	30	29.2175	23.2561	0	0	0	0
444	30	29.2241	23.4267	0	0	0	0
445	30	29.2307	23.6608	0	0	0	0
446	30	29.2372	23.9234	0	0	0	0
447	30	29.2437	24.1941	0	0	0	0
448	30	29.2501	24.4625	0	0	0	0
449	30	29.2564	24.7237	0	0	0	0
450	30	29.2627	24.9752	0	0	0	0
451	30	29.2689	25.1467	0	0	0	0
452	30	29.2751	25.1809	0	0	0	0
453	30	29.2812	25.1871	0	0	0	0
454	30	29.2873	25.0913	0	0	0	0
455	30	29.2934	24.9286	0	0	0	0
456	30	29.2993	24.7341	0	0	0	0
457	30	29.3053	24.5281	0	0	0	0
458	30	29.3111	24.3213	0	0	0	0
459	30	29.317	24.1188	0	0	0	0
460	30	29.3228	23.9232	0	0	0	0
461	30	29.3285	23.7356	0	0	0	0
462	30	29.3342	23.5562	0	0	0	0
463	30	29.3398	23.385	0	0	0	0
464	30	29.3454	23.2218	0	0	0	0
465	30	29.3509	23.1358	0	0	0	0
466	30	29.3564	23.1837	0	0	0	0
467	30	29.3619	23.256	0	0	0	0
468	30	29.3673	23.4268	0	0	0	0
469	30	29.3726	23.6609	0	0	0	0
470	30	29.3779	23.9234	0	0	0	0
471	30	29.3832	24.1942	0	0	0	0
472	30	29.3884	24.4627	0	0	0	0
473	30	29.3936	24.7238	0	0	0	0
474	30	29.3987	24.9753	0	0	0	0
475	30	29.4038	25.1467	0	0	0	0
476	30	29.4088	25.181	0	0	0	0
477	30	29.4138	25.1871	0	0	0	0
478	30	29.4188	25.0913	0	0	0	0
479	30	29.4237	24.9286	0	0	0	0
480	30	29.4286	24.734	0	0	0	0
481	30	29.4334	24.5282	0	0	0	0
482	30	29.4382	24.3213	0	0	0	0
483	30	29.443	24.1188	0	0	0	0
