Zeit [h]	Variante 11.1 Raumlufttemperatur [C]	Variante 11.1 Strahlungstemperatur [C]	Variante 11.1 Trans.Strahlung.Fenster [W]	Variante 11.2 Raumlufttemperatur [C]	Variante 11.2 Strahlungstemperatur [C]	Variante 11.2 Heizleistung [W]	Variante 11.2 Trans.Strahlung.Fenster [W]	Variante 11.3 Raumlufttemperatur [C]	Variante 11.3 Strahlungstemperatur [C]	Variante 11.3 Heizleistung [W]	Variante 11.3 Trans.Strahlung.Fenster [W]	Variante 11.4 Raumlufttemperatur [C]	Variante 11.4 Strahlungstemperatur [C]	Variante 11.4 Heizleistung [W]	Variante 11.4 Trans.Strahlung.Fenster [W]	Variante 11.5 Raumlufttemperatur [C]	Variante 11.5 Strahlungstemperatur [C]	Variante 11.5 Heizleistung [W]	Variante 11.5 Trans.Strahlung.Fenster [W]	Variante 11.6 Raumlufttemperatur [C]	Variante 11.6 Strahlungstemperatur [C]	Variante 11.6 Heizleistung [W]	Variante 11.6 Trans.Strahlung.Fenster [W]
53	16.9283	16.9211	0	20.9691	18.9776	308.678	0	20.9637	18.6216	363.012	0	20.9637	18.6216	363.012	0	20.9495	18.6139	504.956	0	20.9474	18.6139	526.518	0
54	16.8207	16.8138	0	20.9683	18.9203	317.418	0	20.9629	18.5726	370.503	0	20.9629	18.5726	370.503	0	20.9486	18.5647	513.689	0	20.9464	18.5647	536.147	0
55	16.7214	16.7154	0	20.9675	18.8719	324.822	0	20.9623	18.532	376.691	0	20.9623	18.532	376.691	0	20.948	18.5241	519.922	0	20.9457	18.5241	543.249	0
56	16.6243	16.6175	0	20.9668	18.8239	332.137	0	20.9617	18.4919	382.82	0	20.9617	18.4919	382.82	0	20.9474	18.4838	526.026	0	20.945	18.4838	550.182	0
57	16.6003	16.6132	279.722	20.9674	18.8644	326.014	279.722	20.9622	18.5235	378.026	209.11	20.9622	18.5235	378.026	209.11	20.9479	18.5153	520.749	209.11	20.9459	18.5153	541.166	209.11
58	17.1225	17.1701	1278.45	20.9756	19.4047	243.605	1278.45	20.9671	18.8415	329.519	766.722	20.9671	18.8415	329.519	766.722	20.9531	18.8333	469.067	766.722	20.9529	18.8333	470.769	766.722
59	17.8933	17.9438	1948.36	20.9863	20.1042	136.839	1948.36	20.9734	19.2597	265.7	1169.02	20.9734	19.2597	265.7	1169.02	20.96	19.2514	400.067	1169.02	20.9619	19.2514	381.327	1169.02
60	18.5886	18.6232	2159.08	20.9952	20.689	47.5368	2159.08	20.9789	19.614	211.595	1295.45	20.9789	19.614	211.595	1295.45	20.966	19.6057	340.264	1295.45	20.9692	19.6057	307.698	1295.45
61	18.836	18.8448	1705.51	20.9977	20.8477	23.2601	1705.51	20.9804	19.7134	196.392	1023.31	20.9804	19.7134	196.392	1023.31	20.968	19.7052	319.605	1023.31	20.9711	19.7052	289.115	1023.31
62	19.1964	19.2237	2108.83	21.095	21.1723	-7.37629	2108.83	20.9832	19.8969	168.392	1265.3	20.9832	19.8969	168.392	1265.3	20.971	19.8887	290.359	1265.3	20.9748	19.8887	252.534	1265.3
63	19.2798	19.2617	1432.3	21.9327	21.2666	99.7376	1432.3	20.9829	19.8768	171.407	859.378	20.9829	19.8768	171.407	859.378	20.9704	19.8685	295.627	859.378	20.9737	19.8685	263.127	859.378
64	18.6884	18.6384	280.846	20.9992	20.6191	57.7115	280.846	20.9774	19.5172	226.26	187.813	20.9774	19.5172	226.26	187.813	20.9647	19.5089	353.444	187.813	20.9656	19.5089	343.915	187.813
65	18.0699	18.0405	2.14481	20.9861	20.0859	139.466	2.14481	20.9723	19.187	276.692	2.15464	20.9723	19.187	276.692	2.15464	20.9591	19.1785	408.839	2.15464	20.9585	19.1785	415.048	2.15464
66	17.7058	17.6858	-0.0570671	20.9816	19.7971	183.56	-0.0570671	20.9693	18.989	306.929	-0.0568039	20.9693	18.989	306.929	-0.0568039	20.9554	18.9803	445.535	-0.0568039	20.9542	18.9803	457.833	-0.0568039
67	17.4501	17.4366	-0.000594527	20.9788	19.6088	212.329	-0.000594527	20.9673	18.856	327.235	-0.000588905	20.9673	18.856	327.235	-0.000588905	20.9529	18.8472	470.85	-0.000588905	20.9514	18.8472	486.333	-0.000588905
68	17.2637	17.2525	5.88679e-06	20.9768	19.4794	232.074	5.88679e-06	20.9659	18.7643	341.233	5.98493e-06	20.9659	18.7643	341.233	5.98493e-06	20.9513	18.7554	487.581	5.98493e-06	20.9495	18.7554	505.129	5.98493e-06
69	17.1035	17.0937	-1.74468e-07	20.9752	19.3724	248.412	-1.74468e-07	20.9647	18.685	353.336	-1.77015e-07	20.9647	18.685	353.336	-1.77015e-07	20.9498	18.676	502.44	-1.77015e-07	20.9478	18.676	521.558	-1.77015e-07
70	16.9579	16.9486	2.52864e-08	20.9737	19.2775	262.893	2.52864e-08	20.9636	18.6123	364.441	2.54872e-08	20.9636	18.6123	364.441	2.54872e-08	20.9484	18.6031	516.276	2.54872e-08	20.9463	18.6031	536.741	2.54872e-08
71	16.8207	16.8122	1.14242e-09	20.9724	19.1908	276.13	1.14242e-09	20.9625	18.5443	374.814	1.16933e-09	20.9625	18.5443	374.814	1.16933e-09	20.9471	18.535	529.169	1.16933e-09	20.9449	18.535	550.869	1.16933e-09
72	16.6883	16.6795	-4.09782e-10	20.9711	19.1079	288.779	-4.09782e-10	20.9615	18.4782	384.905	-4.11851e-10	20.9615	18.4782	384.905	-4.11851e-10	20.9458	18.4687	541.747	-4.11851e-10	20.9435	18.4687	564.61	-4.11851e-10
73	16.5563	16.548	4.13921e-12	20.9699	19.0269	301.144	4.13921e-12	20.9605	18.4127	394.906	1.0348e-11	20.9605	18.4127	394.906	1.0348e-11	20.9446	18.4031	554.254	1.0348e-11	20.9422	18.4031	578.228	1.0348e-11
74	16.4305	16.4224	4.13921e-12	20.9688	18.9524	312.523	4.13921e-12	20.9596	18.3528	404.05	4.13921e-12	20.9596	18.3528	404.05	4.13921e-12	20.9435	18.3431	565.165	4.13921e-12	20.941	18.3431	590.214	4.13921e-12
75	16.3069	16.2988	0	20.9676	18.8804	323.512	0	20.9587	18.2948	412.897	0	20.9587	18.2948	412.897	0	20.9425	18.285	575.519	0	20.9398	18.285	601.601	0
76	16.1811	16.1728	0	20.9665	18.8072	334.689	0	20.9578	18.2351	422.006	0	20.9578	18.2351	422.006	0	20.9414	18.2252	586.366	0	20.9387	18.2252	613.435	0
77	16.0554	16.0475	0	20.9655	18.7359	345.567	0	20.9569	18.177	430.876	0	20.9569	18.177	430.876	0	20.9403	18.1669	596.76	0	20.9375	18.1669	624.772	0
78	15.9319	15.9237	0	20.9644	18.6671	356.076	0	20.9561	18.121	439.429	0	20.9561	18.121	439.429	0	20.9394	18.1108	606.565	0	20.9365	18.1108	635.469	0
79	15.8089	15.8011	0	20.9634	18.6004	366.259	0	20.9552	18.0668	447.706	0	20.9552	18.0668	447.706	0	20.9384	18.0565	615.862	0	20.9354	18.0565	645.61	0
80	15.6864	15.6782	0	20.9624	18.5343	376.337	0	20.9544	18.0129	455.924	0	20.9544	18.0129	455.924	0	20.9375	18.0025	625.075	0	20.9344	18.0025	655.614	0
81	15.6619	15.6774	381.632	20.9631	18.5834	368.902	381.632	20.9548	18.0354	452.527	249.685	20.9548	18.0354	452.527	249.685	20.9376	18.0249	623.679	249.685	20.9351	18.0249	649.467	249.685
82	16.2232	16.2721	1405.63	20.9719	19.1606	280.861	1405.63	20.9599	18.3707	401.392	843.376	20.9599	18.3707	401.392	843.376	20.9429	18.3601	571.08	843.376	20.9424	18.3601	576.193	843.376
83	17.0376	17.093	2125.02	20.9833	19.9048	167.284	2125.02	20.9668	18.8235	332.276	1275.01	20.9668	18.8235	332.276	1275.01	20.9505	18.8129	495.06	1275.01	20.9522	18.8129	478.412	1275.01
84	17.8666	17.9183	2526.56	20.9942	20.622	57.7992	2526.56	20.9736	19.2731	263.652	1515.94	20.9736	19.2731	263.652	1515.94	20.9584	19.2625	415.523	1515.94	20.9618	19.2625	381.661	1515.94
85	18.6145	18.6596	2660.09	21.2231	21.2632	-0.889941	2660.09	20.9799	19.6835	201.004	1596.05	20.9799	19.6835	201.004	1596.05	20.9664	19.6731	335.755	1596.05	20.9709	19.6731	290.997	1596.05
86	19.1262	19.1466	2554.74	21.6865	21.7046	-4.40528e-07	2554.74	20.9836	19.9231	164.389	1532.84	20.9836	19.9231	164.389	1532.84	20.9709	19.9128	290.88	1532.84	20.9758	19.9128	241.688	1532.84
87	19.2805	19.2728	2079.42	21.8112	21.8019	-4.51174e-10	2079.42	20.9838	19.9353	162.483	1247.65	20.9838	19.9353	162.483	1247.65	20.9707	19.9251	292.974	1247.65	20.9753	19.9251	247.197	1247.65
88	18.7182	18.6624	678.383	21.255	21.1725	6.08648	678.383	20.9781	19.5672	218.623	437.784	20.9781	19.5672	218.623	437.784	20.9647	19.5569	353.065	437.784	20.9668	19.5569	332.042	437.784
89	17.911	17.8685	10.4173	20.9912	20.4221	88.1183	10.4173	20.9716	19.1372	284.269	10.4163	20.9716	19.1372	284.269	10.4163	20.9578	19.1269	422.165	10.4163	20.9576	19.1269	424.469	10.4163
90	17.4527	17.4309	-0.000167547	20.9855	20.0522	144.623	-0.000167547	20.968	18.9057	319.644	-0.000167532	20.968	18.9057	319.644	-0.000167532	20.9541	18.8952	459.034	-0.000167532	20.9529	18.8952	471.002	-0.000167532
91	17.1773	17.1623	-4.33091e-06	20.9823	19.8412	176.844	-4.33091e-06	20.9661	18.7759	339.464	-4.33052e-06	20.9661	18.7759	339.464	-4.33052e-06	20.9521	18.7654	479.346	-4.33052e-06	20.9504	18.7654	495.647	-4.33052e-06
92	16.9735	16.9615	-7.03666e-08	20.98	19.692	199.632	-7.03666e-08	20.9646	18.6812	353.915	-7.03625e-08	20.9646	18.6812	353.915	-7.03625e-08	20.9505	18.6707	494.798	-7.03625e-08	20.9487	18.6707	513.598	-7.03625e-08
93	16.7978	16.7866	-2.39246e-09	20.9781	19.5656	218.927	-2.39246e-09	20.9633	18.5948	367.105	-2.38005e-09	20.9633	18.5948	367.105	-2.38005e-09	20.9489	18.5842	510.722	-2.38005e-09	20.9469	18.5842	531.156	-2.38005e-09
94	16.6271	16.616	6.62274e-11	20.9763	19.4433	237.59	6.62274e-11	20.9619	18.5041	380.942	6.20882e-11	20.9619	18.5041	380.942	6.20882e-11	20.9471	18.4934	529.509	6.20882e-11	20.9449	18.4934	551.133	6.20882e-11
95	16.4694	16.4601	0	20.9746	19.3357	254.011	0	20.9607	18.4233	393.281	0	20.9607	18.4233	393.281	0	20.9454	18.4125	546.353	0	20.9431	18.4125	568.96	0
