Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
90861	-38.34	39.62	-50.41	59.57	-55.88	338.74	-72.91	109.85	-54.54	120.97	-46.31	50.22	-25.41	11.46	-38.67	144.72
90862	-38.25	39.91	-50.22	59.83	-55.95	339.17	-72.67	109.59	-54.33	120.75	-46.16	50.5	-25.4	11.73	-38.55	144.44
90863	-38.15	40.2	-50.04	60.09	-56.01	339.6	-72.43	109.33	-54.12	120.52	-46.01	50.79	-25.38	12.01	-38.44	144.16
90864	-38.05	40.49	-49.85	60.35	-56.08	340.02	-72.2	109.08	-53.91	120.3	-45.86	51.08	-25.36	12.28	-38.32	143.88
90865	-37.95	40.78	-49.66	60.6	-56.15	340.45	-71.96	108.83	-53.7	120.08	-45.71	51.36	-25.34	12.55	-38.21	143.6
90866	-37.85	41.07	-49.48	60.85	-56.21	340.88	-71.73	108.59	-53.49	119.86	-45.56	51.64	-25.33	12.83	-38.09	143.32
90867	-37.75	41.35	-49.29	61.1	-56.27	341.32	-71.49	108.36	-53.28	119.64	-45.41	51.92	-25.31	13.1	-37.97	143.04
90868	-37.65	41.64	-49.1	61.35	-56.33	341.75	-71.25	108.13	-53.07	119.43	-45.26	52.2	-25.29	13.37	-37.85	142.77
90869	-37.54	41.93	-48.91	61.6	-56.39	342.19	-71.01	107.91	-52.85	119.22	-45.11	52.48	-25.27	13.65	-37.73	142.49
90870	-37.44	42.21	-48.72	61.84	-56.45	342.62	-70.78	107.69	-52.64	119.01	-44.95	52.75	-25.25	13.92	-37.61	142.22
90871	-37.34	42.49	-48.54	62.09	-56.51	343.06	-70.54	107.48	-52.42	118.8	-44.8	53.03	-25.23	14.2	-37.49	141.95
90872	-37.24	42.78	-48.35	62.33	-56.56	343.5	-70.3	107.28	-52.21	118.6	-44.65	53.3	-25.21	14.47	-37.37	141.67
90873	-37.13	43.06	-48.16	62.57	-56.62	343.94	-70.06	107.08	-52	118.4	-44.49	53.58	-25.19	14.74	-37.24	141.4
90874	-37.03	43.34	-47.97	62.81	-56.67	344.38	-69.82	106.88	-51.78	118.2	-44.34	53.85	-25.17	15.02	-37.12	141.13
90875	-36.92	43.62	-47.78	63.04	-56.72	344.82	-69.58	106.69	-51.56	118	-44.18	54.12	-25.15	15.29	-37	140.86
90876	-36.82	43.9	-47.58	63.28	-56.77	345.26	-69.34	106.51	-51.35	117.8	-44.02	54.39	-25.13	15.56	-36.87	140.6
90877	-36.71	44.18	-47.39	63.51	-56.82	345.71	-69.1	106.33	-51.13	117.61	-43.87	54.65	-25.11	15.83	-36.75	140.33
90878	-36.6	44.46	-47.2	63.74	-56.86	346.15	-68.86	106.15	-50.92	117.42	-43.71	54.92	-25.08	16.11	-36.62	140.06
90879	-36.49	44.74	-47.01	63.97	-56.91	346.6	-68.62	105.98	-50.7	117.23	-43.55	55.18	-25.06	16.38	-36.49	139.8
90880	-36.39	45.02	-46.82	64.2	-56.95	347.05	-68.38	105.81	-50.48	117.04	-43.39	55.45	-25.04	16.65	-36.36	139.53
90881	-36.28	45.3	-46.62	64.43	-57	347.5	-68.14	105.65	-50.26	116.85	-43.24	55.71	-25.01	16.93	-36.24	139.27
90882	-36.17	45.57	-46.43	64.66	-57.04	347.95	-67.9	105.49	-50.04	116.67	-43.08	55.97	-24.99	17.2	-36.11	139.01
90883	-36.06	45.85	-46.24	64.88	-57.08	348.4	-67.66	105.33	-49.83	116.49	-42.92	56.23	-24.97	17.47	-35.98	138.75
90884	-35.95	46.12	-46.04	65.1	-57.11	348.85	-67.42	105.17	-49.61	116.31	-42.76	56.49	-24.94	17.74	-35.85	138.48
90885	-35.84	46.4	-45.85	65.33	-57.15	349.3	-67.18	105.02	-49.39	116.13	-42.6	56.75	-24.92	18.02	-35.71	138.22
90886	-35.73	46.67	-45.65	65.55	-57.18	349.75	-66.94	104.88	-49.17	115.95	-42.43	57	-24.89	18.29	-35.58	137.97
90887	-35.62	46.94	-45.46	65.77	-57.22	350.21	-66.69	104.73	-48.95	115.77	-42.27	57.26	-24.87	18.56	-35.45	137.71
90888	-35.51	47.22	-45.26	65.98	-57.25	350.66	-66.45	104.59	-48.73	115.6	-42.11	57.51	-24.84	18.83	-35.32	137.45
90889	-35.39	47.49	-45.07	66.2	-57.28	351.12	-66.21	104.45	-48.51	115.43	-41.95	57.76	-24.81	19.1	-35.18	137.2
90890	-35.28	47.76	-44.87	66.41	-57.31	351.57	-65.97	104.32	-48.29	115.26	-41.78	58.01	-24.79	19.38	-35.05	136.94
