Zeit [min]	Potsdam Altitude [Deg]	Potsdam Azimuth [Deg]	Shanghai Altitude [Deg]	Shanghai Azimuth [Deg]	Kaxgar Altitude [Deg]	Kaxgar Azimuth [Deg]	Singapur Altitude [Deg]	Singapur Azimuth [Deg]	Lima Altitude [Deg]	Lima Azimuth [Deg]	Denver Altitude [Deg]	Denver Azimuth [Deg]	Barrow Altitude [Deg]	Barrow Azimuth [Deg]	Melbourne Altitude [Deg]	Melbourne Azimuth [Deg]
427080	20.33099058	213.6056238	35.48197792	224.1213564	38.1489178	167.3777435	68.03018682	233.606031	58.87765633	267.1673274	29.55484196	219.1009329	6.524825833	191.9817776	53.3059311	307.9346104	
427081	20.24602686	213.850501	35.33253319	224.3595296	38.19035015	167.6848679	67.82837001	233.9756432	58.63341601	267.1349151	29.4330968	219.3449233	6.507775612	192.2275372	53.14969376	307.6193369	
427082	20.16052205	214.0950296	35.18245452	224.5966618	38.23077091	167.9923829	67.62561498	234.3384425	58.3891827	267.1025402	29.31071997	219.5882033	6.490389404	192.4732643	52.99279333	307.3061281	
427083	20.07447848	214.339209	35.03174725	224.8327577	38.27017764	168.3002795	67.42194706	234.694582	58.14495647	267.0702009	29.18771549	219.8307741	6.472667572	192.7189583	52.83523881	306.9949657	
427084	19.98789846	214.5830387	34.88041669	225.0678221	38.30856796	168.6085492	67.21739076	235.0442111	57.90073739	267.0378952	29.06408742	220.0726369	6.454610482	192.9646186	52.67703911	306.6858309	
427085	19.90078433	214.8265184	34.72846808	225.3018597	38.34593953	168.9171828	67.01196983	235.3874763	57.65652553	267.0056213	28.93983975	220.3137928	6.436218509	193.2102448	52.51820302	306.3787054	
427086	19.81313843	215.0696474	34.57590666	225.5348753	38.38229008	169.2261714	66.8057073	235.7245204	57.41232097	266.9733773	28.8149765	220.5542433	6.417492034	193.4558362	52.35873923	306.0735704	
427087	19.72496311	215.3124255	34.42273763	225.7668737	38.41761739	169.535506	66.59862545	236.0554833	57.16812377	266.9411615	28.68950166	220.7939896	6.398431444	193.7013922	52.19865632	305.7704077	
427088	19.63626069	215.5548522	34.26896613	225.9978599	38.45191929	169.8451774	66.39074588	236.3805016	56.923934	266.9089722	28.56341923	221.0330332	6.379037134	193.9469123	52.03796275	305.4691986	
427089	19.54703354	215.7969272	34.11459728	226.2278388	38.48519369	170.1551763	66.18208953	236.6997086	56.67975175	266.8768076	28.43673315	221.2713755	6.359309506	194.1923959	51.87666689	305.1699249	
